Month,Value
2015-01,38
2015-02,30
2015-03,33
2015-04,40
2015-05,31
2015-06,44
2015-07,36
2015-08,27
2015-09,28
2015-10,42
2015-11,31
2015-12,34
2016-01,37
2016-02,38
2016-03,32
2016-04,36
2016-05,31
2016-06,36
2016-07,35
2016-08,34
2016-09,38
2016-10,37
2016-11,44
2016-12,41
2017-01,42
2017-02,39
2017-03,34
2017-04,33
2017-05,29
2017-06,35
2017-07,36
2017-08,32
2017-09,24
2017-10,37
2017-11,37
2017-12,38
2018-01,35
2018-02,37
2018-03,45
2018-04,40
2018-05,34
2018-06,38
2018-07,34
2018-08,39
2018-09,50
2018-10,41
2018-11,30
2018-12,38
2019-01,37
2019-02,37
2019-03,38
2019-04,42
2019-05,44
2019-06,36
2019-07,36
2019-08,41
2019-09,40
2019-10,38
2019-11,36
2019-12,41
2020-01,41
2020-02,40
2020-03,50
2020-04,100
2020-05,81
2020-06,65
2020-07,62
2020-08,61
2020-09,59
2020-10,57
2020-11,52
2020-12,62
2021-01,55
2021-02,55
2021-03,47
2021-04,53
2021-05,48
2021-06,44
2021-07,42
2021-08,39
2021-09,34
2021-10,52
2021-11,43
2021-12,40
2022-01,43
2022-02,51
2022-03,60
