Month,Value
2015-01,62
2015-02,68
2015-03,59
2015-04,66
2015-05,41
2015-06,46
2015-07,49
2015-08,57
2015-09,41
2015-10,43
2015-11,69
2015-12,54
2016-01,70
2016-02,56
2016-03,58
2016-04,52
2016-05,62
2016-06,50
2016-07,65
2016-08,58
2016-09,55
2016-10,59
2016-11,49
2016-12,60
2017-01,65
2017-02,83
2017-03,59
2017-04,84
2017-05,53
2017-06,60
2017-07,66
2017-08,69
2017-09,50
2017-10,66
2017-11,79
2017-12,60
2018-01,67
2018-02,70
2018-03,82
2018-04,78
2018-05,61
2018-06,87
2018-07,62
2018-08,73
2018-09,69
2018-10,58
2018-11,72
2018-12,58
2019-01,83
2019-02,57
2019-03,84
2019-04,82
2019-05,68
2019-06,71
2019-07,55
2019-08,68
2019-09,60
2019-10,52
2019-11,61
2019-12,52
2020-01,75
2020-02,87
2020-03,62
2020-04,66
2020-05,69
2020-06,65
2020-07,49
2020-08,73
2020-09,55
2020-10,65
2020-11,59
2020-12,74
2021-01,100
2021-02,60
2021-03,80
2021-04,71
2021-05,93
2021-06,56
2021-07,66
2021-08,79
2021-09,40
2021-10,77
2021-11,84
2021-12,69
2022-01,75
2022-02,91
2022-03,54
