Month,Value
2015-01,32
2015-02,40
2015-03,29
2015-04,17
2015-05,41
2015-06,22
2015-07,36
2015-08,23
2015-09,41
2015-10,16
2015-11,24
2015-12,18
2016-01,57
2016-02,19
2016-03,27
2016-04,42
2016-05,41
2016-06,46
2016-07,7
2016-08,21
2016-09,10
2016-10,15
2016-11,35
2016-12,30
2017-01,29
2017-02,22
2017-03,47
2017-04,41
2017-05,26
2017-06,29
2017-07,19
2017-08,26
2017-09,34
2017-10,39
2017-11,15
2017-12,24
2018-01,31
2018-02,39
2018-03,43
2018-04,39
2018-05,18
2018-06,45
2018-07,18
2018-08,50
2018-09,40
2018-10,45
2018-11,52
2018-12,50
2019-01,42
2019-02,59
2019-03,35
2019-04,59
2019-05,39
2019-06,34
2019-07,50
2019-08,33
2019-09,55
2019-10,45
2019-11,37
2019-12,40
2020-01,66
2020-02,34
2020-03,38
2020-04,65
2020-05,62
2020-06,55
2020-07,47
2020-08,39
2020-09,38
2020-10,53
2020-11,75
2020-12,47
2021-01,70
2021-02,59
2021-03,64
2021-04,95
2021-05,100
2021-06,50
2021-07,61
2021-08,43
2021-09,50
2021-10,53
2021-11,45
2021-12,49
2022-01,47
2022-02,67
2022-03,0
