Month,Value
2015-01,54
2015-02,46
2015-03,68
2015-04,70
2015-05,63
2015-06,50
2015-07,47
2015-08,34
2015-09,47
2015-10,52
2015-11,40
2015-12,55
2016-01,46
2016-02,41
2016-03,58
2016-04,69
2016-05,53
2016-06,57
2016-07,35
2016-08,74
2016-09,65
2016-10,44
2016-11,65
2016-12,43
2017-01,75
2017-02,41
2017-03,79
2017-04,57
2017-05,49
2017-06,54
2017-07,49
2017-08,57
2017-09,47
2017-10,49
2017-11,51
2017-12,52
2018-01,51
2018-02,50
2018-03,67
2018-04,59
2018-05,62
2018-06,53
2018-07,59
2018-08,51
2018-09,37
2018-10,51
2018-11,51
2018-12,55
2019-01,68
2019-02,58
2019-03,65
2019-04,60
2019-05,67
2019-06,58
2019-07,75
2019-08,48
2019-09,42
2019-10,48
2019-11,48
2019-12,53
2020-01,68
2020-02,61
2020-03,56
2020-04,59
2020-05,47
2020-06,91
2020-07,62
2020-08,64
2020-09,65
2020-10,70
2020-11,78
2020-12,75
2021-01,61
2021-02,51
2021-03,79
2021-04,100
2021-05,79
2021-06,71
2021-07,65
2021-08,71
2021-09,57
2021-10,87
2021-11,81
2021-12,57
2022-01,53
2022-02,62
2022-03,0
