Month,Value
2015-01,19
2015-02,83
2015-03,28
2015-04,10
2015-05,27
2015-06,32
2015-07,7
2015-08,22
2015-09,7
2015-10,6
2015-11,48
2015-12,47
2016-01,56
2016-02,24
2016-03,29
2016-04,23
2016-05,29
2016-06,25
2016-07,33
2016-08,20
2016-09,25
2016-10,32
2016-11,37
2016-12,13
2017-01,50
2017-02,25
2017-03,20
2017-04,25
2017-05,17
2017-06,19
2017-07,31
2017-08,29
2017-09,34
2017-10,20
2017-11,19
2017-12,14
2018-01,37
2018-02,21
2018-03,66
2018-04,53
2018-05,29
2018-06,23
2018-07,25
2018-08,20
2018-09,12
2018-10,19
2018-11,39
2018-12,26
2019-01,30
2019-02,43
2019-03,23
2019-04,47
2019-05,38
2019-06,15
2019-07,32
2019-08,17
2019-09,39
2019-10,64
2019-11,43
2019-12,18
2020-01,33
2020-02,47
2020-03,48
2020-04,52
2020-05,33
2020-06,41
2020-07,40
2020-08,34
2020-09,31
2020-10,48
2020-11,55
2020-12,42
2021-01,78
2021-02,49
2021-03,64
2021-04,54
2021-05,17
2021-06,34
2021-07,25
2021-08,30
2021-09,25
2021-10,64
2021-11,48
2021-12,41
2022-01,39
2022-02,43
2022-03,100
